Year,Stage,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals,Result
1954.0,Group 4,Switzerland,Italy,4.0,1.0,HomeWin
1954.0,Quarter-finals,Uruguay,England,4.0,2.0,HomeWin
1954.0,Quarter-finals,Austria,Switzerland,7.0,5.0,HomeWin
1954.0,Quarter-finals,Germany FR,Yugoslavia,2.0,0.0,HomeWin
1954.0,Quarter-finals,Hungary,Brazil,4.0,2.0,HomeWin
1954.0,Semi-finals,Germany FR,Austria,6.0,1.0,HomeWin
1954.0,Semi-finals,Hungary,Uruguay,4.0,2.0,HomeWin
1954.0,Match for third place,Austria,Uruguay,3.0,1.0,HomeWin
1954.0,Final,Germany FR,Hungary,3.0,2.0,HomeWin
1958.0,Group 3,Sweden,Mexico,3.0,0.0,HomeWin
1958.0,Group 4,Soviet Union,England,2.0,2.0,Draw
1958.0,Group 1,Argentina,Germany FR,1.0,3.0,AwayWin
1958.0,Group 3,Hungary,Wales,1.0,1.0,Draw
1958.0,Group 2,France,Paraguay,7.0,3.0,HomeWin
1958.0,Group 2,Yugoslavia,Scotland,1.0,1.0,Draw
1958.0,Group 4,Brazil,Austria,3.0,0.0,HomeWin
1958.0,Group 1,Northern Ireland,Czechoslovakia,1.0,0.0,HomeWin
1958.0,Group 4,Brazil,England,0.0,0.0,Draw
1958.0,Group 3,Mexico,Wales,1.0,1.0,Draw
1958.0,Group 2,Paraguay,Scotland,3.0,2.0,HomeWin
1958.0,Group 2,Yugoslavia,France,3.0,2.0,HomeWin
1958.0,Group 4,Soviet Union,Austria,2.0,0.0,HomeWin
1958.0,Group 1,Germany FR,Czechoslovakia,2.0,2.0,Draw
1958.0,Group 1,Argentina,Northern Ireland,3.0,1.0,HomeWin
1958.0,Group 3,Sweden,Hungary,2.0,1.0,HomeWin
1958.0,Group 3,Sweden,Wales,0.0,0.0,Draw
1958.0,Group 4,Brazil,Soviet Union,2.0,0.0,HomeWin
1958.0,Group 1,Germany FR,Northern Ireland,2.0,2.0,Draw
1958.0,Group 3,Hungary,Mexico,4.0,0.0,HomeWin
1958.0,Group 2,Paraguay,Yugoslavia,3.0,3.0,Draw
1958.0,Group 2,France,Scotland,2.0,1.0,HomeWin
1958.0,Group 4,England,Austria,2.0,2.0,Draw
1958.0,Group 1,Czechoslovakia,Argentina,6.0,1.0,HomeWin
1958.0,Group 4,Soviet Union,England,1.0,0.0,HomeWin
1958.0,Group 1,Northern Ireland,Czechoslovakia,2.0,1.0,HomeWin
1958.0,Group 3,Wales,Hungary,2.0,1.0,HomeWin
1958.0,Quarter-finals,Brazil,Wales,1.0,0.0,HomeWin
1958.0,Quarter-finals,Germany FR,Yugoslavia,1.0,0.0,HomeWin
1958.0,Quarter-finals,Sweden,Soviet Union,2.0,0.0,HomeWin
1958.0,Quarter-finals,France,Northern Ireland,4.0,0.0,HomeWin
1958.0,Semi-finals,Sweden,Germany FR,3.0,1.0,HomeWin
1958.0,Semi-finals,Brazil,France,5.0,2.0,HomeWin
1958.0,Match for third place,France,Germany FR,6.0,3.0,HomeWin
1958.0,Final,Brazil,Sweden,5.0,2.0,HomeWin
1962.0,Group 1,Uruguay,Colombia,2.0,1.0,HomeWin
1962.0,Group 3,Brazil,Mexico,2.0,0.0,HomeWin
1962.0,Group 4,Argentina,Bulgaria,1.0,0.0,HomeWin
1962.0,Group 2,Chile,Switzerland,3.0,1.0,HomeWin
1962.0,Group 1,Soviet Union,Yugoslavia,2.0,0.0,HomeWin
